,time,open,high,low,close,volume
6603,2022-06-22 16:00:00+00:00,215.196,218.26,212.993,216.263,7323.30764028
6604,2022-06-22 20:00:00+00:00,216.127,216.98,212.981,214.2,6266.92028912
6605,2022-06-23 00:00:00+00:00,214.206,221.732,213.963,217.8,7984.01178102
6606,2022-06-23 04:00:00+00:00,217.749,224.148,217.39,222.124,5872.43570709
6607,2022-06-23 08:00:00+00:00,222.061,229.515,221.38,225.239,10428.11222123
6608,2022-06-23 12:00:00+00:00,225.234,228.475,221.0,222.669,11630.07663369
6609,2022-06-23 16:00:00+00:00,222.757,229.539,221.0,229.251,8481.89935525
6610,2022-06-23 20:00:00+00:00,229.275,230.51,226.279,228.77,6876.976977
6611,2022-06-24 00:00:00+00:00,228.772,234.57,228.31,231.776,8203.43564268
6612,2022-06-24 04:00:00+00:00,231.787,232.69,229.57,231.102,6029.4453937
6613,2022-06-24 08:00:00+00:00,231.091,238.39,230.818,236.902,7479.36329602
6614,2022-06-24 12:00:00+00:00,236.902,242.28,234.809,235.147,9864.66736916
6615,2022-06-24 16:00:00+00:00,235.116,239.228,233.3,238.787,7071.0325506
6616,2022-06-24 20:00:00+00:00,238.859,243.398,237.551,240.225,7780.52623321
6617,2022-06-25 00:00:00+00:00,240.228,241.753,235.58,238.598,7616.3696839
6618,2022-06-25 04:00:00+00:00,238.66,242.04,237.203,241.267,5098.11256332
6619,2022-06-25 08:00:00+00:00,241.285,241.91,237.0,237.52,4794.04037115
6620,2022-06-25 12:00:00+00:00,237.52,238.295,229.528,230.661,7913.66131417
6621,2022-06-25 16:00:00+00:00,230.661,237.07,230.425,235.718,5675.93660995
6622,2022-06-25 20:00:00+00:00,235.718,240.424,235.335,239.642,5025.46119368
6623,2022-06-26 00:00:00+00:00,239.643,240.549,236.34,238.088,5392.24041527
6624,2022-06-26 04:00:00+00:00,238.098,240.35,237.472,239.066,3909.46420515
6625,2022-06-26 08:00:00+00:00,239.066,244.0,238.26,243.537,5629.102335
6626,2022-06-26 12:00:00+00:00,243.721,245.23,237.8,239.653,7770.21550428
6627,2022-06-26 16:00:00+00:00,239.659,240.284,235.73,237.553,5258.80120418
6628,2022-06-26 20:00:00+00:00,237.553,240.159,233.18,233.879,5835.70906974
6629,2022-06-27 00:00:00+00:00,233.879,238.045,233.14,237.822,6885.11112416
6630,2022-06-27 04:00:00+00:00,237.823,240.37,236.964,239.263,4766.72010536
6631,2022-06-27 08:00:00+00:00,239.37,240.964,237.989,238.065,3946.0085972
6632,2022-06-27 12:00:00+00:00,238.097,238.441,230.097,234.114,8150.96855626
6633,2022-06-27 16:00:00+00:00,234.067,236.855,231.37,233.302,6317.31980748
6634,2022-06-27 20:00:00+00:00,233.385,236.109,232.89,233.692,5437.17822813
6635,2022-06-28 00:00:00+00:00,233.711,235.57,230.492,234.405,7351.74286807
6636,2022-06-28 04:00:00+00:00,234.407,238.229,233.35,237.622,4495.50013468
6637,2022-06-28 08:00:00+00:00,237.608,240.55,237.16,239.17,7291.32727838
6638,2022-06-28 12:00:00+00:00,239.1,242.603,234.42,234.772,12533.94186025
6639,2022-06-28 16:00:00+00:00,234.825,236.5,231.88,232.657,9069.03082996
6640,2022-06-28 20:00:00+00:00,232.633,233.687,225.804,227.011,6739.07044255
6641,2022-06-29 00:00:00+00:00,226.896,229.65,223.101,224.891,7532.10859653
6642,2022-06-29 04:00:00+00:00,224.589,225.8,217.228,220.586,11638.2334062
6643,2022-06-29 08:00:00+00:00,220.61,222.19,217.398,220.175,8564.24200433
6644,2022-06-29 12:00:00+00:00,220.218,220.87,215.42,218.633,10173.46811609
6645,2022-06-29 16:00:00+00:00,218.638,221.12,215.79,220.953,8165.84724296
6646,2022-06-29 20:00:00+00:00,221.005,222.47,218.5,219.703,5087.46161928
6647,2022-06-30 00:00:00+00:00,219.705,220.264,216.317,219.209,6318.16862547
6648,2022-06-30 04:00:00+00:00,219.226,219.87,210.142,211.483,10898.26860973
6649,2022-06-30 08:00:00+00:00,211.411,211.411,205.6,208.669,12792.73148127
6650,2022-06-30 12:00:00+00:00,208.504,213.27,206.964,212.407,12302.63696079
6651,2022-06-30 16:00:00+00:00,212.421,215.42,210.65,212.481,9311.96747081
6652,2022-06-30 20:00:00+00:00,212.488,219.998,210.0,219.336,8107.52494914
6653,2022-07-01 00:00:00+00:00,219.64,226.789,217.65,221.091,15140.54211768
6654,2022-07-01 04:00:00+00:00,221.088,223.283,217.745,223.001,8875.7055363
6655,2022-07-01 08:00:00+00:00,223.002,224.937,217.12,218.614,8879.21423239
6656,2022-07-01 12:00:00+00:00,218.543,219.199,213.49,214.93,10103.60479898
6657,2022-07-01 16:00:00+00:00,214.93,218.749,214.531,217.724,7438.23226068
6658,2022-07-01 20:00:00+00:00,217.799,220.729,215.582,216.808,10330.5395372
6659,2022-07-02 00:00:00+00:00,216.937,218.862,213.85,214.896,15307.19130056
6660,2022-07-02 04:00:00+00:00,214.866,217.085,214.717,215.342,7413.4720141
6661,2022-07-02 08:00:00+00:00,215.343,218.57,214.544,216.805,5840.91755144
6662,2022-07-02 12:00:00+00:00,216.805,217.677,214.446,216.124,7925.5750838
6663,2022-07-02 16:00:00+00:00,216.105,219.282,215.3,218.2,7986.24922221
6664,2022-07-02 20:00:00+00:00,218.225,219.766,217.451,218.22,4207.02790986
6665,2022-07-03 00:00:00+00:00,218.285,219.329,216.5,218.967,4542.28983886
6666,2022-07-03 04:00:00+00:00,218.965,219.759,214.19,218.377,7701.83797829
6667,2022-07-03 08:00:00+00:00,218.391,218.573,216.29,218.121,4184.95186877
6668,2022-07-03 12:00:00+00:00,218.135,218.626,214.29,214.59,5975.10506756
6669,2022-07-03 16:00:00+00:00,214.564,219.41,214.402,218.861,4351.44616453
6670,2022-07-03 20:00:00+00:00,218.862,220.09,218.32,219.063,4035.40428693
6671,2022-07-04 00:00:00+00:00,219.12,219.797,214.724,215.684,4392.91970348
6672,2022-07-04 04:00:00+00:00,215.657,217.742,215.215,216.782,3446.37813161
6673,2022-07-04 08:00:00+00:00,216.743,224.179,216.498,223.943,7454.28884642
6674,2022-07-04 12:00:00+00:00,224.0,227.2,222.131,225.902,10329.17663153
6675,2022-07-04 16:00:00+00:00,225.972,228.741,225.23,227.363,6277.46389934
6676,2022-07-04 20:00:00+00:00,227.397,232.125,226.741,231.411,5471.30054179
6677,2022-07-05 00:00:00+00:00,231.478,233.95,229.871,233.635,6759.81202456
6678,2022-07-05 04:00:00+00:00,233.677,236.595,232.14,233.905,7003.76533886
6679,2022-07-05 08:00:00+00:00,233.911,233.967,226.197,227.138,7525.36926349
6680,2022-07-05 12:00:00+00:00,227.095,227.119,222.91,225.087,8513.41222222
6681,2022-07-05 16:00:00+00:00,225.11,233.6,224.13,231.637,10653.37864437
6682,2022-07-05 20:00:00+00:00,231.827,233.79,229.531,230.702,9389.5902582
6683,2022-07-06 00:00:00+00:00,230.65,234.77,228.99,232.075,6749.7646355
6684,2022-07-06 04:00:00+00:00,232.088,235.56,231.697,234.544,6388.84311566
6685,2022-07-06 08:00:00+00:00,234.481,238.996,233.557,236.557,6624.15550074
6686,2022-07-06 12:00:00+00:00,236.567,239.09,235.13,236.525,6909.62842906
6687,2022-07-06 16:00:00+00:00,236.55,239.526,236.184,237.707,8208.10892573
6688,2022-07-06 20:00:00+00:00,237.741,240.0,237.07,238.496,3909.06260695
6689,2022-07-07 00:00:00+00:00,238.522,239.25,236.506,236.871,3880.56470028
6690,2022-07-07 04:00:00+00:00,236.905,237.25,235.601,237.0,3342.50571831
6691,2022-07-07 08:00:00+00:00,237.073,238.5,236.582,237.609,2695.21028142
6692,2022-07-07 12:00:00+00:00,237.6,242.9,235.4,240.612,10379.07521931
6693,2022-07-07 16:00:00+00:00,240.619,243.64,239.513,243.183,7550.50785467
6694,2022-07-07 20:00:00+00:00,243.193,243.406,240.546,241.5,6267.61450085
6695,2022-07-08 00:00:00+00:00,241.54,247.887,240.391,245.0,6783.1964308
6696,2022-07-08 04:00:00+00:00,245.007,245.21,239.5,241.52,4398.26809647
6697,2022-07-08 08:00:00+00:00,241.472,242.33,236.98,239.398,5487.68222702
6698,2022-07-08 12:00:00+00:00,239.359,242.841,237.11,242.331,8550.18898865
6699,2022-07-08 16:00:00+00:00,242.305,242.775,239.16,242.035,5885.50972097
6700,2022-07-08 20:00:00+00:00,242.076,243.589,239.907,240.61,4324.19980335
6701,2022-07-09 00:00:00+00:00,240.57,242.771,240.537,242.269,4988.87361847
6702,2022-07-09 04:00:00+00:00,242.281,245.0,241.55,244.379,3636.30959488
6703,2022-07-09 08:00:00+00:00,244.38,244.882,241.27,242.022,3135.62176204
6704,2022-07-09 12:00:00+00:00,241.818,243.45,241.453,242.382,3207.36225418
6705,2022-07-09 16:00:00+00:00,242.349,244.988,241.611,243.099,3260.15982316
6706,2022-07-09 20:00:00+00:00,243.022,244.264,242.423,243.255,1909.08767658
6707,2022-07-10 00:00:00+00:00,243.255,243.432,235.58,235.67,7664.50766125
6708,2022-07-10 04:00:00+00:00,235.621,237.123,234.741,237.003,2968.97332638
6709,2022-07-10 08:00:00+00:00,237.086,237.51,235.321,236.168,3165.58417914
6710,2022-07-10 12:00:00+00:00,236.168,236.9,232.019,233.063,4613.5120513
6711,2022-07-10 16:00:00+00:00,233.087,234.47,231.81,234.47,3693.90929207
6712,2022-07-10 20:00:00+00:00,234.407,235.832,232.733,234.687,3518.22090113
6713,2022-07-11 00:00:00+00:00,234.687,234.95,229.877,231.77,5538.11598738
6714,2022-07-11 04:00:00+00:00,231.679,232.12,228.044,229.805,3529.81535638
6715,2022-07-11 08:00:00+00:00,229.804,233.38,229.603,231.694,2909.27545822
6716,2022-07-11 12:00:00+00:00,231.694,233.98,229.507,231.608,5812.19448077
6717,2022-07-11 16:00:00+00:00,231.659,233.74,231.061,231.78,4384.44640858
6718,2022-07-11 20:00:00+00:00,231.885,232.362,225.09,225.612,6293.76172373
6719,2022-07-12 00:00:00+00:00,225.542,225.903,223.3,224.913,5067.6863778
6720,2022-07-12 04:00:00+00:00,224.871,226.33,222.569,223.281,3879.30527868
6721,2022-07-12 08:00:00+00:00,223.229,224.35,220.959,224.106,4644.0462294
6722,2022-07-12 12:00:00+00:00,224.056,227.545,223.928,226.326,5166.02835022
6723,2022-07-12 16:00:00+00:00,226.431,228.298,221.234,222.402,5906.26770694
